供应商,供货商来货品名,图片, 单价（含采购运费） ,雷阳品名规格,"编码代码
（大类）","编码代码
（小类）",末位流水编号,雷阳货号,成本价（含打包费用及发货运费等）,子件货号,,最新采购价格日期
猴狮马,硅胶心型冰格冰块模具爱心史丹利冰格模具食品级带盖易脱模硅胶制冰格模具,#NAME?, 12.90 ,爱心三格冰格模具紫色,BG,01,0030,BG010030,14.45,,,
猴狮马,硅胶心型冰格冰块模具爱心史丹利冰格模具食品级带盖易脱模硅胶制冰格模具,#NAME?, 12.90 ,爱心三格冰格模具蓝色,BG,01,0031,BG010031,14.45,,,
猴狮马,硅胶心型冰格冰块模具爱心史丹利冰格模具食品级带盖易脱模硅胶制冰格模具,#NAME?, 12.90 ,爱心三格冰格模具粉色,BG,01,0032,BG010032,14.45,,,
猴狮马,硅胶心型冰格冰块模具爱心史丹利冰格模具食品级带盖易脱模硅胶制冰格模具,#NAME?, 12.90 ,爱心三格冰格模具绿色,BG,01,0033,BG010033,14.45,,,
深圳市宇之铭科技有限公司,跨境食品级硅胶AS材质易脱模冰球模具圆形冰块制作威士忌家用冰格 颜色: 黑色 规格: 2个装/盒（0.12kg，包装7*7*8.5cm）,#NAME?, 10.33 ,灯泡冰球模具圆形黑色2个装,BG,01,0034,BG010034,11.57,,,
深圳市宇之铭科技有限公司,跨境食品级硅胶AS材质易脱模冰球模具圆形冰块制作威士忌家用冰格 颜色: 黑色 规格: 4个装/盒（0.24kg，包装7*7*17cm）,#NAME?, 20.67 ,灯泡冰球模具圆形黑色4个装,BG,01,0035,BG010035,23.15,,,
阳江市一浩工贸有限公司,现货厂家批发烘焙工具巧克力硅胶融壶巧克力硅胶分配器硅胶分装壶 规格: 巧克力色硅胶融壶,#NAME?, 3.73 ,巧克力分装壶巧克力色,BG,01,0036,BG010036,4.17,,,
阳江市一浩工贸有限公司,现货厂家批发烘焙工具巧克力硅胶融壶巧克力硅胶分配器硅胶分装壶 规格: 红色硅胶融壶,#NAME?, 3.73 ,巧克力分装壶红色,BG,01,0037,BG010037,4.17,,,
阳江市一浩工贸有限公司,现货厂家批发烘焙工具巧克力硅胶融壶巧克力硅胶分配器硅胶分装壶 规格: 绿色硅胶融壶,#NAME?, 3.73 ,巧克力分装壶绿色,BG,01,0038,BG010038,4.17,,,
义乌市华涛塑料制品有限公司,跨境新品Ninja Creami 奶油豪华冰淇淋杯适用于Ninja NC500 NC501 颜色: 四色罐子各一【纸盒装】,#NAME?, 33.20 ,冰淇淋罐子四色各1个,BG,01,0039,BG010039,37.18,,,
义乌市禾卉日用品厂,"跨境圆筒冰格硅胶冰块模具迷你大号冰桶冰块杯易脱膜制冰杯储冰盒 [快照]
颜色: 大号OP装蓝色（8*9cm）",#NAME?, 2.96 ,圆筒冰块模具制冰桶大号OP装蓝色（8*9cm）,BG,01,0040,BG010040,3.32,,,
